Time(days),O3(molecules_m^-3),O(molecules_m^-3),O1D(molecules_m^-3),NO(molecules_m^-3),NO2(molecules_m^-3),Cl(molecules_m^-3),ClO(molecules_m^-3),OH(molecules_m^-3),HO2(molecules_m^-3),H(molecules_m^-3),Br(molecules_m^-3),BrO(molecules_m^-3),CH4(molecules_m^-3),H2O(molecules_m^-3),N2O(molecules_m^-3),HNO3(molecules_m^-3),HCl(molecules_m^-3),ClONO2(molecules_m^-3),HOCl(molecules_m^-3),ClOOCl(molecules_m^-3),ClOO(molecules_m^-3),BrCl(molecules_m^-3),OClO(molecules_m^-3)
0.625,5.1157972315415046e+17,297616907.6479666,230.753995124796,1640622277.0916681,1910140498277361.8,49894490.35879395,168092226057.32623,335826239299.7776,187447498134.64188,24573.061255868735,147438631.13433054,1458991884031422.5,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46808162371253.49,695386516654714.5,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5145413324733.464
0.6458333333333334,5.1140548213498035e+17,289016496.4922307,224.30852407984244,1594870032.2661774,1910076049117929.5,49894490.35879395,162757276270.4875,328814490939.67053,183549466167.39124,24573.061255868735,147438631.13433054,1507716219374216.8,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46849940985558.82,704657258394671.9,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5185433816703.0205
0.6666666666666666,5.112350264740884e+17,279170302.38287765,216.9087546072355,1542202237.8560326,1910010290590452.5,49894490.35879395,157754652136.83075,320497265497.5932,178923322635.8659,24573.061255868735,147438631.13433054,1556423754022662.5,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46893746172590.516,713928000134629.2,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5225431533581.227
0.6875,5.1106886697392064e+17,268119638.45971957,208.5870634901014,1482835264.347747,1909943228673493.0,49894490.35879395,153054138873.6798,310906437199.63196,173586793036.95667,24573.061255868735,147438631.13433054,1605114924980904.0,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46939528182994.97,723198741874586.6,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5265405537758.725
0.7083333333333334,5.1090749626648723e+17,255911102.5313972,199.37967753195494,1417015566.762776,1909874881334832.5,49894490.35879395,148629121962.8842,300079110119.70685,167560519583.39545,24573.061255868735,147438631.13433054,1653790218214480.5,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,46987229146596.27,732469483614544.0,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5305354968724.71
0.7291666666666666,5.107513867296073e+17,242596387.1659953,189.32651063993777,1345018736.7257674,1909805277896263.0,49894490.35879395,144456059360.77417,288057503414.2321,160867997382.40524,24573.061255868735,147438631.13433054,1702450166511676.8,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,47036783251436.0,741740225354501.4,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5345279048293.915
0.75,5.106009884865679e+17,228232065.87156045,178.47098698419066,1267148407.427591,1909734458435945.5,49894490.35879395,140514044237.07315,274888818784.21625,153535500709.95026,24573.061255868735,147438631.13433054,1751095347166175.2,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,47088116950391.41,751010967094458.8,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5385177083076.222
0.7708333333333334,5.1045672749889043e+17,212879355.1515541,166.8598504777938,1183735008.351472,1909662473217975.5,49894490.35879395,136784443895.67413,260625089372.74603,145591998936.40936,24573.061255868735,147438631.13433054,1799726379480384.5,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,47141149196605.08,760281708834416.2,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5425048464720.034
0.7916666666666666,5.103190037558732e+17,196603859.53319934,154.54296254526403,1095134383.9777768,1909589382140260.2,49894490.35879395,133250593932.18286,245323011055.5907,137069062620.18686,24573.061255868735,147438631.13433054,1848343922096321.0,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,47195791706254.74,769552450574373.2,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5464892669011.45
0.8125,5.101881895679628e+17,179475281.68373296,141.5730867067123,1001726258.9523784,1909515254191291.8,49894490.35879395,129897544312.9981,229043754228.11557,128000758776.07605,24573.061255868735,147438631.13433054,1896948670165316.8,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,47251949251552.96,778823192314330.5,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5504709253512.759
0.8333333333333334,5.100646280496049e+17,161567130.78991422,128.0056667248653,903912621.5273387,1909440166901249.5,49894490.35879395,126711838298.75417,211852754574.02673,118423534325.10674,24573.061255868735,147438631.13433054,1945541352287449.2,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,47309519986419.09,788093934054287.9,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5544497854384.677
